name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-169,NO,68.7,43.3,25.3,0.583,-0.8,1.3e-02,1.0e+00,0.2728,61,41,48,41,27,19,30
GENE-10444,YES,6435.3,2067.7,4367.7,2.113,1.1,1.3e-02,1.0e+00,0.2735,61,1726,1434,3043,4256,5553,3294
GENE-15714,NO,299,183.7,115.3,0.629,-0.7,1.3e-02,1.0e+00,0.2747,62,194,208,149,100,137,109
GENE-19567,YES,1904.7,1283,621.7,0.484,-1,1.4e-02,1.0e+00,0.2812,63,1263,1028,1558,357,743,765
GENE-14903,NO,190.3,117.7,72.7,0.615,-0.7,1.4e-02,1.0e+00,0.2812,64,147,102,104,85,69,64
GENE-12996,NO,845.3,118,727.3,6.157,2.6,1.4e-02,1.0e+00,0.2812,64,101,155,98,312,1666,204
GENE-10581,YES,1400.3,549.7,850.7,1.547,0.6,1.4e-02,1.0e+00,0.2827,64,567,561,521,1058,819,675
GENE-16962,NO,166.7,119.7,47,0.392,-1.4,1.4e-02,1.0e+00,0.2827,65,149,68,142,71,40,30
GENE-3086,NO,616.3,378,238.3,0.631,-0.7,1.4e-02,1.0e+00,0.2827,65,329,327,478,233,216,266
GENE-6763,NO,37.7,13.3,24.3,1.809,0.9,1.4e-02,1.0e+00,0.2837,66,13,13,14,26,18,29
GENE-1694,YES,2532.7,845.7,1687,1.995,1,1.4e-02,1.0e+00,0.2876,67,878,621,1038,1816,1064,2181
GENE-1244,NO,3106.3,1096.3,2010,1.833,0.9,1.5e-02,1.0e+00,0.2971,69,1158,676,1455,1881,2047,2102
GENE-7815,NO,101.7,39,62.7,1.599,0.7,1.5e-02,1.0e+00,0.2971,70,47,30,40,60,66,62
GENE-7852,NO,32,20.7,11.3,0.548,-0.9,1.5e-02,1.0e+00,0.2971,70,18,25,19,12,13,9
GENE-18835,NO,421.3,258,163.3,0.635,-0.7,1.5e-02,1.0e+00,0.2971,70,234,234,306,129,175,186
GENE-10996,NO,40.7,14.7,26,1.759,0.8,1.5e-02,1.0e+00,0.2971,70,18,15,11,23,27,28
GENE-4919,NO,30,9.3,20.7,2.189,1.1,1.5e-02,1.0e+00,0.2971,71,10,10,8,17,15,30
GENE-2697,YES,40,27.3,12.7,0.463,-1.1,1.5e-02,1.0e+00,0.2971,71,22,30,30,11,19,8
GENE-5962,NO,35.7,22.7,13,0.573,-0.8,1.5e-02,1.0e+00,0.2996,72,23,27,18,12,13,14
GENE-17720,NO,42.7,29.7,13,0.438,-1.2,1.6e-02,1.0e+00,0.3064,74,26,28,35,8,21,10
GENE-10402,NO,88.7,34.3,54.3,1.573,0.7,1.6e-02,1.0e+00,0.3064,74,33,35,35,49,48,66
GENE-16732,NO,176.3,163.3,13,0.08,-3.6,1.6e-02,1.0e+00,0.3064,74,362,34,94,32,1,6
GENE-12892,NO,192,118,74,0.625,-0.7,1.6e-02,1.0e+00,0.3064,75,146,101,107,71,64,87
GENE-5358,YES,30.7,21.7,9,0.417,-1.3,1.6e-02,1.0e+00,0.3108,76,28,20,17,5,14,8
GENE-1470,NO,30.7,21,9.7,0.461,-1.1,1.7e-02,1.0e+00,0.3135,77,17,18,28,6,12,11
GENE-11764,NO,48,31.7,16.3,0.515,-1,1.7e-02,1.0e+00,0.3135,77,26,37,32,23,12,14
GENE-1298,NO,180.7,108.7,72,0.662,-0.6,1.7e-02,1.0e+00,0.3135,78,99,105,122,73,84,59
GENE-5017,YES,1247,472.3,774.7,1.639,0.7,1.7e-02,1.0e+00,0.3152,78,333,599,485,835,746,743
GENE-18816,YES,1559.7,960.3,599.3,0.624,-0.7,1.7e-02,1.0e+00,0.3212,80,1278,786,817,583,572,643
GENE-1513,NO,53,32.7,20.3,0.621,-0.7,1.8e-02,1.0e+00,0.3296,83,39,28,31,22,21,18
GENE-16085,NO,240,97.3,142.7,1.47,0.6,1.9e-02,1.0e+00,0.3457,87,100,100,92,149,165,114
GENE-1233,NO,221.7,131.7,90,0.681,-0.6,1.9e-02,1.0e+00,0.3457,87,144,121,130,97,73,100
GENE-613,NO,236,89,147,1.655,0.7,1.9e-02,1.0e+00,0.3497,89,63,109,95,162,155,124
GENE-17975,NO,2892.3,2737,155.3,0.057,-4.1,1.9e-02,1.0e+00,0.3497,89,3031,4869,311,254,6,206
GENE-13086,NO,28.3,19.7,8.7,0.442,-1.2,1.9e-02,1.0e+00,0.3497,90,19,22,18,9,13,4
GENE-5874,NO,2104,1931,173,0.09,-3.5,2.0e-02,1.0e+00,0.3589,92,3874,595,1324,44,436,39
GENE-19990,NO,647,397.3,249.7,0.629,-0.7,2.0e-02,1.0e+00,0.366,94,449,342,401,301,183,265
GENE-10674,NO,657,247.3,409.7,1.656,0.7,2.1e-02,1.0e+00,0.3728,97,188,271,283,512,401,316
GENE-7787,NO,153.3,60.3,93,1.533,0.6,2.1e-02,1.0e+00,0.3728,97,58,50,73,81,108,90
GENE-3051,NO,609.3,221.7,387.7,1.752,0.8,2.1e-02,1.0e+00,0.3728,97,182,313,170,396,442,325
GENE-9886,NO,19.3,12.7,6.7,0.529,-0.9,2.1e-02,1.0e+00,0.3728,98,12,11,15,7,5,8
GENE-4195,NO,634.3,390.7,243.7,0.625,-0.7,2.1e-02,1.0e+00,0.3728,98,373,332,467,219,200,312
GENE-2434,NO,3403,2036,1367,0.671,-0.6,2.1e-02,1.0e+00,0.3734,99,2435,1667,2006,1458,1513,1130
GENE-14127,NO,165.3,95.7,69.7,0.727,-0.5,2.1e-02,1.0e+00,0.3744,99,92,101,94,75,72,62
GENE-14511,NO,646,272.3,373.7,1.372,0.5,2.1e-02,1.0e+00,0.3744,100,265,292,260,326,402,393
GENE-19966,NO,58,22.7,35.3,1.548,0.6,2.2e-02,1.0e+00,0.3769,101,19,23,26,39,33,34
GENE-11122,NO,107.7,32,75.7,2.344,1.2,2.2e-02,1.0e+00,0.3798,102,16,55,25,72,81,74
GENE-2635,NO,106.7,43,63.7,1.472,0.6,2.2e-02,1.0e+00,0.3798,102,37,44,48,64,70,57
GENE-8056,NO,102,71.3,30.7,0.431,-1.2,2.2e-02,1.0e+00,0.3842,104,53,66,95,14,40,38
GENE-2061,NO,7651,4305.7,3345.3,0.777,-0.4,2.2e-02,1.0e+00,0.3867,105,4390,4530,3997,3280,3582,3174
GENE-686,YES,3967.3,215.7,3751.7,17.383,4.1,2.3e-02,1.0e+00,0.3955,108,145,12,490,9037,800,1418
GENE-10400,NO,57.3,34.7,22.7,0.652,-0.6,2.3e-02,1.0e+00,0.4006,109,32,41,31,21,23,24
GENE-8460,YES,1081.7,407,674.7,1.657,0.7,2.4e-02,1.0e+00,0.4037,111,306,354,561,717,723,584
GENE-3874,NO,22.7,15,7.7,0.513,-1,2.4e-02,1.0e+00,0.4073,112,12,17,16,5,8,10
GENE-7977,NO,183.3,110,73.3,0.664,-0.6,2.4e-02,1.0e+00,0.4095,113,132,111,87,81,64,75
GENE-5457,YES,3344.7,1933.3,1411.3,0.73,-0.5,2.4e-02,1.0e+00,0.4101,114,1877,1632,2291,1424,1390,1420
GENE-4665,NO,41.3,14,27.3,1.937,1,2.5e-02,1.0e+00,0.4121,115,17,9,16,20,27,35
GENE-4510,NO,237.3,86.7,150.7,1.734,0.8,2.5e-02,1.0e+00,0.4126,115,110,89,61,111,179,162
GENE-10847,NO,26.3,9.3,17,1.803,0.9,2.5e-02,1.0e+00,0.4152,116,13,7,8,17,18,16
GENE-7606,NO,151.3,48.3,103,2.122,1.1,2.5e-02,1.0e+00,0.4152,117,76,40,29,87,85,137
GENE-19985,NO,740.7,434,306.7,0.707,-0.5,2.5e-02,1.0e+00,0.4152,117,429,454,419,259,291,370
GENE-13516,NO,52,33,19,0.575,-0.8,2.5e-02,1.0e+00,0.4152,118,37,28,34,17,26,14
GENE-17583,NO,25.3,16,9.3,0.584,-0.8,2.5e-02,1.0e+00,0.4152,118,17,13,18,8,9,11
GENE-7125,NO,1489,879.3,609.7,0.693,-0.5,2.5e-02,1.0e+00,0.4152,118,701,895,1042,552,613,664
GENE-5253,NO,3070,1745.3,1324.7,0.759,-0.4,2.6e-02,1.0e+00,0.4203,120,1577,1854,1805,1434,1191,1349
GENE-6920,NO,35,21.7,13.3,0.614,-0.7,2.6e-02,1.0e+00,0.4234,122,19,25,21,16,12,12
GENE-14608,NO,646,472.3,173.7,0.367,-1.4,2.6e-02,1.0e+00,0.4244,122,643,493,281,115,96,310
GENE-17447,NO,110.7,36,74.7,2.062,1,2.6e-02,1.0e+00,0.4244,123,41,41,26,42,76,106
GENE-9584,NO,1128,650.7,477.3,0.734,-0.4,2.7e-02,1.0e+00,0.4281,124,658,633,661,460,414,558
GENE-8777,NO,12966,7291,5675,0.778,-0.4,2.7e-02,1.0e+00,0.4281,125,6647,7446,7780,5197,5922,5906
GENE-4648,YES,335.3,123,212.3,1.723,0.8,2.7e-02,1.0e+00,0.4281,125,138,152,79,191,184,262
GENE-14666,NO,95.7,38.3,57.3,1.487,0.6,2.7e-02,1.0e+00,0.4281,125,36,44,35,48,62,62
GENE-16443,NO,2198,230,1968,8.553,3.1,2.7e-02,1.0e+00,0.4281,126,24,163,503,2289,3171,444
GENE-18474,NO,16473,4934.7,11538.3,2.338,1.2,2.7e-02,1.0e+00,0.4281,126,6708,4031,4065,5268,17758,11589
GENE-10179,YES,1669,945.3,723.7,0.765,-0.4,2.7e-02,1.0e+00,0.4288,127,1012,840,984,735,732,704
GENE-14843,NO,7238.3,3183.7,4054.7,1.274,0.3,2.7e-02,1.0e+00,0.4298,128,3124,3270,3157,3746,4457,3961
GENE-16761,NO,53.7,32.3,21.3,0.658,-0.6,2.7e-02,1.0e+00,0.4298,128,28,37,32,20,20,24
GENE-16139,NO,34,21.7,12.3,0.569,-0.8,2.8e-02,1.0e+00,0.4326,129,27,15,23,14,11,12
GENE-16070,YES,73.3,22.7,50.7,2.219,1.1,2.8e-02,1.0e+00,0.4326,130,32,17,19,58,68,26
GENE-4264,NO,183.7,117,66.7,0.567,-0.8,2.8e-02,1.0e+00,0.4326,130,128,120,103,65,94,41
GENE-7570,NO,1419.3,623.7,795.7,1.275,0.4,2.9e-02,1.0e+00,0.4326,131,626,636,609,822,762,803
GENE-3975,NO,124,49,75,1.523,0.6,2.9e-02,1.0e+00,0.4326,131,55,43,49,60,72,93
GENE-6465,NO,6259,2580,3679,1.426,0.5,2.9e-02,1.0e+00,0.4326,132,2949,2695,2096,3081,3748,4208
GENE-1650,NO,91.3,53.3,38,0.71,-0.5,2.9e-02,1.0e+00,0.4326,132,59,52,49,40,35,39
GENE-19232,NO,777.3,438.7,338.7,0.772,-0.4,2.9e-02,1.0e+00,0.4326,132,409,452,455,345,329,342
GENE-8695,NO,499.7,287.7,212,0.737,-0.4,2.9e-02,1.0e+00,0.4326,133,327,249,287,200,215,221
GENE-18479,NO,63.7,22.3,41.3,1.838,0.9,2.9e-02,1.0e+00,0.4326,133,19,15,33,39,37,48
GENE-18175,NO,473.3,184.7,288.7,1.561,0.6,2.9e-02,1.0e+00,0.4326,134,196,223,135,327,305,234
GENE-6037,NO,1296.3,554.3,742,1.338,0.4,2.9e-02,1.0e+00,0.4326,134,531,618,514,824,718,684
GENE-14380,NO,192.3,80.7,111.7,1.387,0.5,2.9e-02,1.0e+00,0.4326,135,79,83,80,95,130,110
GENE-6851,NO,341.3,259.3,82,0.317,-1.7,2.9e-02,1.0e+00,0.4326,135,354,260,164,94,131,21
GENE-13179,NO,542,316.3,225.7,0.713,-0.5,2.9e-02,1.0e+00,0.4326,135,346,255,348,242,227,208
GENE-6877,NO,84.7,35.3,49.3,1.388,0.5,2.9e-02,1.0e+00,0.4329,136,35,36,35,50,46,52
GENE-7975,YES,182.7,67.7,115,1.697,0.8,2.9e-02,1.0e+00,0.4331,136,48,90,65,92,111,142
GENE-19047,YES,268,100.3,167.7,1.675,0.7,2.9e-02,1.0e+00,0.4331,137,88,74,139,174,137,192
GENE-10813,NO,229.7,137.7,92,0.666,-0.6,3.0e-02,1.0e+00,0.4366,138,125,151,137,81,76,119
GENE-17699,NO,32,12.3,19.7,1.581,0.7,3.0e-02,1.0e+00,0.443,141,10,14,13,18,21,20
GENE-8177,NO,43,26.3,16.7,0.631,-0.7,3.0e-02,1.0e+00,0.4449,142,22,31,26,19,14,17
GENE-11488,NO,30.3,10.7,19.7,1.826,0.9,3.1e-02,1.0e+00,0.4454,143,9,9,14,14,23,22
GENE-13313,NO,160.3,66,94.3,1.429,0.5,3.1e-02,1.0e+00,0.4532,145,71,68,59,109,76,98
GENE-12376,NO,110,101.3,8.7,0.086,-3.5,3.1e-02,1.0e+00,0.4532,146,199,6,99,4,22,0
GENE-6541,NO,106,45,61,1.348,0.4,3.1e-02,1.0e+00,0.4532,146,48,43,44,61,62,60
GENE-9348,NO,36.7,22.7,14,0.616,-0.7,3.2e-02,1.0e+00,0.4538,147,18,27,23,16,14,12
GENE-1457,NO,310.7,184,126.7,0.689,-0.5,3.2e-02,1.0e+00,0.4538,147,192,166,194,120,102,158
GENE-12961,NO,1358.3,791.7,566.7,0.715,-0.5,3.2e-02,1.0e+00,0.4583,149,760,645,970,563,571,566
GENE-5157,YES,84,55.7,28.3,0.511,-1,3.3e-02,1.0e+00,0.4643,152,47,68,52,20,20,45
GENE-3124,NO,943.3,539,404.3,0.751,-0.4,3.3e-02,1.0e+00,0.4643,152,496,613,508,427,414,372
GENE-17555,YES,27,7.3,19.7,2.642,1.4,3.3e-02,1.0e+00,0.4643,153,6,2,14,18,22,19
GENE-18749,NO,132,78.7,53.3,0.678,-0.6,3.3e-02,1.0e+00,0.4647,153,84,92,60,59,52,49
GENE-17268,NO,124.7,74.3,50.3,0.678,-0.6,3.3e-02,1.0e+00,0.4663,154,86,73,64,61,48,42
GENE-15690,NO,2447.3,880,1567.3,1.781,0.8,3.3e-02,1.0e+00,0.4663,155,820,698,1122,1351,2270,1081
GENE-11365,NO,69,27.7,41.3,1.485,0.6,3.3e-02,1.0e+00,0.4663,155,24,28,31,40,36,48
GENE-19525,NO,204,120,84,0.697,-0.5,3.4e-02,1.0e+00,0.4713,157,105,148,107,86,74,92
GENE-8400,NO,14118,8434,5684,0.674,-0.6,3.4e-02,1.0e+00,0.4713,158,7765,10300,7237,4419,5697,6936
GENE-3605,NO,49.3,30,19.3,0.643,-0.6,3.4e-02,1.0e+00,0.4735,159,35,31,24,21,16,21
GENE-16335,NO,62,25.3,36.7,1.439,0.5,3.5e-02,1.0e+00,0.4788,161,27,27,22,38,33,39
GENE-9655,NO,139.7,52.7,87,1.653,0.7,3.5e-02,1.0e+00,0.4788,162,56,66,36,71,81,109
GENE-14014,NO,30.7,19,11.7,0.614,-0.7,3.5e-02,1.0e+00,0.4788,162,21,20,16,12,9,14
GENE-7391,NO,26.7,9.7,17,1.742,0.8,3.5e-02,1.0e+00,0.4812,164,12,7,10,14,21,16
GENE-855,YES,90,36,54,1.492,0.6,3.5e-02,1.0e+00,0.4842,165,46,33,29,56,52,54
GENE-15755,NO,32.7,21.7,11,0.508,-1,3.6e-02,1.0e+00,0.4859,166,14,22,29,8,10,15
GENE-14924,NO,63,24.3,38.7,1.578,0.7,3.6e-02,1.0e+00,0.491,168,23,28,22,48,39,29
GENE-12001,NO,36,13.3,22.7,1.686,0.8,3.7e-02,1.0e+00,0.5008,172,16,14,10,29,20,19
GENE-3353,NO,784.7,342,442.7,1.293,0.4,3.7e-02,1.0e+00,0.5013,173,325,381,320,440,454,434
GENE-11747,NO,235,152.3,82.7,0.542,-0.9,3.7e-02,1.0e+00,0.5013,173,171,113,173,94,109,45
GENE-9143,NO,383.7,234.3,149.3,0.638,-0.6,3.7e-02,1.0e+00,0.5013,174,203,280,220,173,173,102
GENE-12923,NO,67,27.7,39.3,1.413,0.5,3.7e-02,1.0e+00,0.5025,175,29,27,27,40,44,34
GENE-13252,NO,82.3,47.3,35,0.737,-0.4,3.8e-02,1.0e+00,0.5103,178,47,49,46,37,35,33
GENE-14820,YES,115,73.3,41.7,0.569,-0.8,3.8e-02,1.0e+00,0.5103,179,62,79,79,30,32,63
GENE-677,NO,1038.7,313.3,725.3,2.315,1.2,3.9e-02,1.0e+00,0.5145,181,312,439,189,514,430,1232
GENE-18364,NO,36.7,22.3,14.3,0.641,-0.6,3.9e-02,1.0e+00,0.5145,181,26,17,24,13,15,15
GENE-5501,NO,101.7,65.7,36,0.547,-0.9,3.9e-02,1.0e+00,0.5145,182,82,56,59,28,25,55
GENE-3850,NO,42,16.7,25.3,1.51,0.6,3.9e-02,1.0e+00,0.5145,182,19,16,15,26,21,29
GENE-6009,NO,788.3,463.3,325,0.702,-0.5,3.9e-02,1.0e+00,0.5165,183,542,471,377,367,268,340
GENE-6095,NO,926.3,239,687.3,2.877,1.5,3.9e-02,1.0e+00,0.5165,184,413,60,244,565,695,802
GENE-791,NO,8792,3798.3,4993.7,1.315,0.4,4.0e-02,1.0e+00,0.5222,186,3940,4026,3429,4953,4253,5775
GENE-9010,NO,625,251.3,373.7,1.489,0.6,4.0e-02,1.0e+00,0.5222,187,226,325,203,309,411,401
GENE-12502,YES,697.7,278.7,419,1.502,0.6,4.0e-02,1.0e+00,0.5222,187,327,293,216,529,364,364
GENE-18026,NO,259,106.3,152.7,1.432,0.5,4.1e-02,1.0e+00,0.5222,188,110,100,109,113,168,177
GENE-12715,NO,1598,666.7,931.3,1.397,0.5,4.1e-02,1.0e+00,0.5222,189,557,658,785,1081,925,788
GENE-18713,NO,103.3,44,59.3,1.342,0.4,4.1e-02,1.0e+00,0.5222,189,48,44,40,57,60,61
GENE-18358,NO,332.7,143.3,189.3,1.319,0.4,4.1e-02,1.0e+00,0.5222,190,143,151,136,177,172,219
GENE-19292,NO,293.7,167.7,126,0.752,-0.4,4.1e-02,1.0e+00,0.525,191,182,181,140,119,126,133
GENE-16887,NO,62.7,41.3,21.3,0.516,-1,4.1e-02,1.0e+00,0.525,192,52,49,23,15,21,28
GENE-9848,NO,23,8.7,14.3,1.636,0.7,4.2e-02,1.0e+00,0.53,194,8,10,8,15,16,12
GENE-14962,NO,887.3,598.7,288.7,0.483,-1.1,4.2e-02,1.0e+00,0.53,194,875,666,255,293,242,331
GENE-3070,NO,513.7,220.3,293.3,1.332,0.4,4.2e-02,1.0e+00,0.5316,196,245,234,182,306,292,282
GENE-13707,NO,202,72.7,129.3,1.786,0.8,4.2e-02,1.0e+00,0.5316,196,70,64,84,185,130,73
GENE-18763,NO,5455,2334.3,3120.7,1.337,0.4,4.2e-02,1.0e+00,0.5316,197,2291,2626,2086,2699,2977,3686
GENE-3845,NO,47.7,18.7,29,1.543,0.6,4.2e-02,1.0e+00,0.5316,197,18,17,21,37,24,26
GENE-9632,NO,9604,3411.7,6192.3,1.815,0.9,4.2e-02,1.0e+00,0.5316,198,4691,3469,2075,8539,5368,4670
GENE-12973,NO,85.7,21.7,64,2.924,1.5,4.2e-02,1.0e+00,0.5316,198,16,26,23,92,85,15
GENE-10237,NO,138.7,59,79.7,1.35,0.4,4.3e-02,1.0e+00,0.5328,199,50,62,65,76,86,77
GENE-16609,NO,83,49,34,0.691,-0.5,4.3e-02,1.0e+00,0.5328,200,51,52,44,30,42,30
GENE-86,NO,427,341.7,85.3,0.25,-2,4.3e-02,1.0e+00,0.5328,200,518,383,124,63,19,174
GENE-2185,NO,430.7,245.3,185.3,0.756,-0.4,4.3e-02,1.0e+00,0.5328,201,226,265,245,214,168,174
GENE-6735,NO,3466.7,1453.7,2013,1.385,0.5,4.3e-02,1.0e+00,0.5328,201,1541,1384,1436,1844,1639,2556
GENE-11370,NO,371.7,213,158.7,0.747,-0.4,4.3e-02,1.0e+00,0.5328,202,220,210,209,185,131,160
GENE-6975,NO,701,284.7,416.3,1.462,0.5,4.3e-02,1.0e+00,0.5328,202,319,253,282,308,517,424
GENE-1154,NO,132,117.7,14.3,0.123,-3,4.4e-02,1.0e+00,0.5362,204,265,84,4,19,3,21
GENE-7093,NO,10121.3,6089.7,4031.7,0.662,-0.6,4.4e-02,1.0e+00,0.5424,207,7106,6677,4486,4940,3060,4095
GENE-12703,NO,3319.7,1406,1913.7,1.361,0.4,4.5e-02,1.0e+00,0.5435,208,1517,1143,1558,1978,2146,1617
GENE-16693,NO,993.7,381,612.7,1.607,0.7,4.5e-02,1.0e+00,0.5497,211,366,401,376,601,386,851
GENE-15818,NO,28.7,10.7,18,1.671,0.7,4.5e-02,1.0e+00,0.5497,212,8,10,14,22,16,16
GENE-12954,NO,385,219.7,165.3,0.754,-0.4,4.6e-02,1.0e+00,0.5572,215,215,239,205,166,189,141
GENE-3351,NO,28,17,11,0.647,-0.6,4.6e-02,1.0e+00,0.5581,216,18,19,14,12,11,10
GENE-9275,NO,1815.3,1086.3,729,0.671,-0.6,4.7e-02,1.0e+00,0.561,218,1159,1160,940,500,902,785
GENE-13745,YES,35.7,22.3,13.3,0.597,-0.7,4.7e-02,1.0e+00,0.561,218,26,17,24,10,18,12
GENE-8223,NO,116.7,50.3,66.3,1.311,0.4,4.7e-02,1.0e+00,0.5622,219,48,53,50,71,66,62
GENE-7579,NO,126.7,78.3,48.3,0.616,-0.7,4.7e-02,1.0e+00,0.5622,220,102,67,66,37,43,65
GENE-1607,NO,33.3,13.3,20,1.488,0.6,4.7e-02,1.0e+00,0.5622,220,12,12,16,19,21,20
GENE-18237,NO,196.3,74.3,122,1.647,0.7,4.7e-02,1.0e+00,0.5622,221,66,97,60,125,159,82
GENE-19386,NO,47.7,32.7,15,0.459,-1.1,4.7e-02,1.0e+00,0.5625,222,39,23,36,25,14,6
GENE-6451,NO,51,32.7,18.3,0.56,-0.8,4.8e-02,1.0e+00,0.5636,223,26,31,41,26,11,18
GENE-17980,NO,3752.3,1545.7,2206.7,1.428,0.5,4.8e-02,1.0e+00,0.5636,223,1700,1769,1168,1804,2244,2572
GENE-5541,NO,44.7,27.7,17,0.613,-0.7,4.8e-02,1.0e+00,0.5636,224,21,29,33,16,13,22
GENE-8742,NO,3548.3,1316.3,2232,1.695,0.8,4.8e-02,1.0e+00,0.5641,225,1153,1848,948,3062,1851,1783
GENE-15037,NO,1141.3,493.3,648,1.313,0.4,4.8e-02,1.0e+00,0.5641,225,480,530,470,759,565,620
GENE-7364,NO,453.3,257.7,195.7,0.76,-0.4,4.8e-02,1.0e+00,0.5641,226,262,268,243,229,170,188
GENE-16485,NO,81.3,47,34.3,0.728,-0.5,4.8e-02,1.0e+00,0.5641,226,41,47,53,36,35,32
GENE-6438,NO,148.3,61,87.3,1.431,0.5,4.9e-02,1.0e+00,0.5641,227,56,72,55,98,97,67
GENE-10250,NO,324.7,203,121.7,0.602,-0.7,4.9e-02,1.0e+00,0.5641,227,303,133,173,120,132,113
GENE-491,NO,1992,1651.7,340.3,0.206,-2.3,4.9e-02,1.0e+00,0.5641,228,1568,143,3244,363,181,477
GENE-11997,NO,778.3,220.3,558,2.531,1.3,4.9e-02,1.0e+00,0.5641,228,193,334,134,724,189,761
GENE-5589,NO,63.3,39,24.3,0.622,-0.7,4.9e-02,1.0e+00,0.5641,229,41,43,33,16,32,25
GENE-7110,YES,86,35.7,50.3,1.404,0.5,4.9e-02,1.0e+00,0.5641,230,37,31,39,42,56,53
GENE-665,YES,361.3,210.3,151,0.721,-0.5,4.9e-02,1.0e+00,0.5641,230,268,181,182,145,159,149
GENE-18342,NO,21.3,13.3,8,0.601,-0.7,5.0e-02,1.0e+00,0.5641,231,17,10,13,7,8,9
GENE-2923,NO,102,64.3,37.7,0.584,-0.8,5.0e-02,1.0e+00,0.5641,231,72,49,72,35,24,54
GENE-7353,NO,1417.3,799.3,618,0.774,-0.4,5.0e-02,1.0e+00,0.5641,232,701,896,801,616,671,567
GENE-13073,NO,6317,3545,2772,0.782,-0.4,5.0e-02,1.0e+00,0.5641,232,3191,3909,3535,3101,2437,2778
GENE-14204,NO,184.7,115.7,69,0.594,-0.8,5.0e-02,1.0e+00,0.5642,233,106,147,94,43,95,69
GENE-2128,NO,95.7,64.7,31,0.48,-1.1,5.0e-02,1.0e+00,0.5642,234,45,61,88,47,14,32
GENE-13597,NO,360.3,157,203.3,1.297,0.4,5.0e-02,1.0e+00,0.5657,235,175,149,147,183,203,224
GENE-12794,NO,2121,725.7,1395.3,1.923,0.9,5.1e-02,1.0e+00,0.5663,236,460,926,791,1635,720,1831
GENE-9605,NO,79,46.3,32.7,0.703,-0.5,5.1e-02,1.0e+00,0.5663,236,52,42,45,27,32,39
GENE-18984,NO,500.7,208.7,292,1.4,0.5,5.1e-02,1.0e+00,0.5663,237,192,259,175,248,326,302
GENE-1982,NO,916.3,380.3,536,1.409,0.5,5.1e-02,1.0e+00,0.5663,237,324,342,475,471,504,633
GENE-6520,NO,12042,6767,5275,0.78,-0.4,5.1e-02,1.0e+00,0.5663,238,7383,7379,5539,5169,5121,5535
GENE-5001,NO,188,77,111,1.441,0.5,5.1e-02,1.0e+00,0.5663,238,78,78,75,96,90,147
GENE-12433,NO,89,12.3,76.7,6.177,2.6,5.1e-02,1.0e+00,0.5686,240,31,4,2,149,10,71
GENE-14994,NO,2023.3,907.3,1116,1.23,0.3,5.2e-02,1.0e+00,0.5699,241,843,925,954,1148,1113,1087
GENE-4169,NO,29,18,11,0.611,-0.7,5.2e-02,1.0e+00,0.5699,242,18,23,13,13,10,10
GENE-17391,NO,312.7,189,123.7,0.656,-0.6,5.2e-02,1.0e+00,0.5699,242,147,268,152,127,126,118
GENE-14547,NO,25.7,6.7,19,2.8,1.5,5.2e-02,1.0e+00,0.5699,243,2,6,12,31,16,10
GENE-5020,NO,834,306,528,1.725,0.8,5.2e-02,1.0e+00,0.5708,244,369,278,271,419,814,351
GENE-9022,NO,1234.3,541.3,693,1.279,0.4,5.2e-02,1.0e+00,0.5725,245,542,516,566,757,595,727
GENE-4307,NO,17.7,5.7,12,2.083,1.1,5.3e-02,1.0e+00,0.5726,246,2,8,7,11,11,14
GENE-1743,NO,183.7,103,80.7,0.782,-0.4,5.3e-02,1.0e+00,0.5761,248,101,98,110,88,75,79
GENE-16606,NO,3218.3,121,3097.3,25.58,4.7,5.3e-02,1.0e+00,0.5771,249,161,202,0,30,1413,7849
GENE-19689,NO,999.7,587.7,412,0.701,-0.5,5.3e-02,1.0e+00,0.5772,249,737,509,517,334,416,486
GENE-7103,NO,33,11.3,21.7,1.894,0.9,5.4e-02,1.0e+00,0.5802,251,13,13,8,17,15,33
GENE-18055,NO,3922.7,2187.3,1735.3,0.793,-0.3,5.5e-02,1.0e+00,0.5871,255,2352,2087,2123,1522,1953,1731
GENE-9528,NO,1799.3,666,1133.3,1.702,0.8,5.5e-02,1.0e+00,0.5874,256,666,604,728,1694,644,1062
GENE-12649,NO,76218,42311.3,33906.7,0.801,-0.3,5.5e-02,1.0e+00,0.5874,256,47961,41736,37237,31815,34396,35509
GENE-9492,NO,61.7,38,23.7,0.621,-0.7,5.5e-02,1.0e+00,0.5876,257,33,30,51,24,18,29
GENE-7083,NO,291,166.3,124.7,0.75,-0.4,5.5e-02,1.0e+00,0.5876,257,175,182,142,139,105,130
GENE-11209,NO,744,332.7,411.3,1.237,0.3,5.5e-02,1.0e+00,0.5878,258,331,322,345,429,399,406
GENE-19872,NO,2254.3,980,1274.3,1.301,0.4,5.5e-02,1.0e+00,0.5878,259,946,1142,852,1141,1405,1277
GENE-10759,NO,239,142,97,0.68,-0.6,5.6e-02,1.0e+00,0.5927,261,165,121,140,97,124,70
GENE-17566,NO,560.3,240.7,319.7,1.33,0.4,5.6e-02,1.0e+00,0.5927,262,269,225,228,383,291,285
GENE-17795,NO,92.3,39,53.3,1.36,0.4,5.7e-02,1.0e+00,0.5964,264,41,36,40,61,45,54
